iter	Passed	Remaining
655	4699	2464
656	4706	2456
657	4712	2449
658	4718	2441
659	4725	2434
660	4732	2426
661	4737	2419
662	4744	2411
663	4751	2404
664	4757	2396
665	4764	2389
666	4770	2381
667	4776	2374
668	4784	2367
669	4791	2359
670	4799	2353
671	4806	2345
672	4814	2339
673	4821	2331
674	4828	2324
675	4835	2317
676	4844	2311
677	4851	2304
678	4857	2296
679	4863	2288
680	4870	2281
681	4877	2274
682	4883	2266
683	4889	2259
684	4896	2251
685	4904	2244
686	4911	2237
687	4919	2230
688	4927	2223
689	4934	2217
690	4942	2210
691	4949	2203
692	4955	2195
693	4962	2187
694	4968	2180
695	4975	2173
696	4982	2165
697	4988	2158
698	4995	2151
699	5001	2143
700	5007	2135
701	5015	2128
702	5021	2121
703	5029	2114
704	5035	2107
705	5042	2099
706	5047	2091
707	5054	2084
708	5062	2077
709	5068	2070
710	5075	2063
711	5081	2055
712	5087	2047
713	5094	2040
714	5101	2033
715	5108	2026
716	5114	2018
717	5120	2011
718	5127	2003
719	5134	1996
720	5142	1990
721	5149	1982
722	5156	1975
723	5163	1968
724	5170	1961
725	5176	1953
726	5183	1946
727	5190	1939
728	5198	1932
729	5205	1925
730	5212	1918
731	5219	1910
732	5226	1903
733	5233	1896
734	5240	1889
735	5247	1882
736	5257	1876
737	5264	1868
738	5271	1861
739	5280	1855
740	5286	1847
741	5293	1840
742	5299	1833
743	5306	1825
744	5313	1818
745	5320	1811
746	5329	1805
747	5336	1797
748	5344	1790
749	5350	1783
750	5356	1775
751	5363	1768
752	5370	1761
753	5378	1754
754	5385	1747
755	5392	1740
756	5399	1733
757	5404	1725
758	5411	1718
759	5418	1711
760	5425	1703
761	5431	1696
762	5437	1689
763	5444	1681
764	5451	1674
765	5457	1667
766	5463	1659
767	5470	1652
768	5477	1645
769	5484	1638
770	5490	1630
771	5497	1623
772	5503	1616
773	5510	1608
774	5518	1602
775	5524	1594
776	5531	1587
777	5538	1580
778	5544	1573
779	5551	1565
780	5558	1558
781	5565	1551
782	5573	1544
783	5579	1537
784	5585	1529
785	5592	1522
786	5599	1515
787	5606	1508
788	5613	1501
789	5620	1493
790	5626	1486
791	5634	1479
792	5642	1472
793	5649	1465
794	5655	1458
795	5663	1451
796	5669	1443
797	5676	1436
798	5682	1429
799	5688	1422
800	5695	1414
801	5703	1407
802	5709	1400
803	5716	1393
804	5725	1386
805	5732	1379
806	5740	1372
807	5749	1366
808	5755	1358
809	5762	1351
810	5768	1344
811	5773	1336
812	5781	1329
813	5787	1322
814	5794	1315
815	5803	1308
816	5813	1302
817	5820	1294
818	5827	1287
819	5834	1280
820	5840	1273
821	5845	1265
822	5852	1258
823	5859	1251
824	5865	1244
825	5871	1236
826	5876	1229
827	5885	1222
828	5891	1215
829	5899	1208
830	5906	1201
831	5912	1193
832	5920	1186
833	5926	1179
834	5932	1172
835	5939	1165
836	5948	1158
837	5954	1151
838	5960	1143
839	5966	1136
840	5971	1129
841	5978	1121
842	5985	1114
843	5991	1107
844	5998	1100
845	6005	1093
846	6011	1085
847	6018	1078
848	6024	1071
849	6030	1064
850	6038	1057
851	6044	1049
852	6050	1042
853	6057	1035
854	6062	1028
855	6068	1020
856	6073	1013
857	6079	1006
858	6086	999
859	6093	991
860	6099	984
861	6106	977
862	6112	970
863	6119	963
864	6127	956
865	6134	949
866	6140	942
867	6149	935
868	6157	928
869	6163	920
870	6168	913
871	6175	906
872	6184	899
873	6192	892
874	6199	885
875	6206	878
876	6217	872
877	6224	864
878	6234	858
879	6241	851
880	6251	844
881	6257	837
882	6263	829
883	6271	822
884	6279	815
885	6287	808
886	6295	801
887	6303	795
888	6310	787
889	6316	780
890	6322	773
891	6329	766
892	6336	759
893	6344	752
894	6350	744
895	6356	737
896	6361	730
897	6368	723
898	6376	716
899	6384	709
900	6390	702
901	6396	694
902	6402	687
903	6408	680
904	6414	673
905	6420	666
906	6428	659
907	6434	651
908	6442	645
909	6448	637
910	6454	630
911	6459	623
912	6467	616
913	6473	609
914	6478	601
915	6484	594
916	6492	587
917	6498	580
918	6505	573
919	6511	566
920	6517	559
921	6524	551
922	6532	544
923	6538	537
924	6543	530
925	6549	523
926	6554	516
927	6559	508
928	6565	501
929	6574	494
930	6581	487
931	6588	480
932	6595	473
933	6601	466
934	6608	459
935	6614	452
936	6621	445
937	6631	438
938	6637	431
939	6643	424
940	6648	416
941	6654	409
942	6661	402
943	6668	395
944	6675	388
945	6681	381
946	6688	374
947	6697	367
948	6704	360
949	6710	353
950	6717	346
951	6724	339
952	6731	331
953	6740	324
954	6745	317
955	6751	310
956	6759	303
957	6766	296
958	6774	289
959	6782	282
960	6789	275
961	6796	268
962	6802	261
963	6809	254
964	6816	247
965	6822	240
966	6832	233
967	6838	226
968	6844	218
969	6850	211
970	6856	204
971	6867	197
972	6874	190
973	6881	183
974	6886	176
975	6892	169
976	6898	162
977	6905	155
978	6913	148
979	6919	141
980	6927	134
981	6933	127
982	6938	120
983	6944	112
984	6951	105
985	6957	98
986	6963	91
987	6969	84
988	6977	77
989	6984	70
990	6990	63
991	6997	56
992	7003	49
993	7010	42
994	7026	35
995	7032	28
996	7038	21
997	7045	14
998	7054	7
999	7061	0
